Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping,Number
2018,DE27,Schwaben,37200,69689289600,2,0,0,1873368,,9
2018,DE30,Berlin,37600,1.35867E+11,2,0,0,3613495,,9
2018,DE40,Brandenburg,27200,68109888000,2,0,0,2504040,,9
2018,DE50,Bremen,46300,31531781600,2,0,0,681032,,9
2018,DE60,Hamburg,60700,1.11116E+11,2,0,0,1830584,,9
2018,DE71,Darmstadt,48800,1.94129E+11,2,0,0,3978050,,9
2018,DE72,Gießen,32100,33570404700,2,0,0,1045807,,9
2018,DE73,Kassel,34900,42557234500,2,0,0,1219405,,9
2018,DE80,Mecklenburg-Vorpommern,25800,41566870200,2,0,0,1611119,,9
2018,DE91,Braunschweig,41500,66222961000,2,0,0,1595734,,9
2018,DE92,Hannover,36100,77402732000,2,0,0,2144120,,9
2018,DE93,Lüneburg,26500,45221296000,2,0,0,1706464,,9
2018,DE94,Weser-Ems,33600,84552955200,2,0,0,2516457,,9
2018,DEA1,Düsseldorf,38800,2.01714E+11,2,0,0,5198820,,9
2018,DEA2,Köln,40000,1.78169E+11,2,0,0,4454228,,9
2018,DEA3,Münster,31500,82566319500,2,0,0,2621153,,9
2018,DEA4,Detmold,35400,72723742200,2,0,0,2054343,,9
2018,DEA5,Arnsberg,32600,1.16825E+11,2,0,0,3583590,,9
2018,DEB1,Koblenz,32400,48374982000,2,0,0,1493055,,9
2018,DEB2,Trier,29600,15676071200,2,0,0,529597,,9
2018,DEB3,Rheinhessen-Pfalz,35800,73426766600,2,0,0,2051027,,9
2018,DEC0,Saarland,33400,33205845800,2,0,0,994187,,9
2018,DED2,Dresden,29100,46518474300,2,0,0,1598573,,9
2018,DED4,Chemnitz,27000,39013731000,2,0,0,1444953,,9
2018,DED5,Leipzig,30100,31237238200,2,0,0,1037782,,9
2018,DEE0,Sachsen-Anhalt,26500,58911646500,2,0,0,2223081,,9
2018,DEF0,Schleswig-Holstein,31000,89584451000,2,0,0,2889821,,9
2018,DEG0,Thüringen,27400,58943017000,2,0,0,2151205,,9
2018,ES11,Galicia,25300,68389669700,2,0,0,2703149,Spain,2
2018,ES12,Principado de Asturias,24900,25587837600,2,0,0,1027624,,2
2018,ES13,Cantabria,26000,15113644000,2,0,0,581294,,2
2018,ES21,País Vasco,36300,78802508400,2,0,0,2170868,,2
2018,ES22,Comunidad Foral de Navarra,34300,22084603800,2,0,0,643866,,2
2018,ES23,La Rioja,29700,9292654800,2,0,0,312884,,2
2018,ES24,Aragón,30800,40444558000,2,0,0,1313135,,2
2018,ES30,Comunidad de Madrid,38300,2.50847E+11,2,0,0,6549520,,2
2018,ES41,Castilla y León,26300,63608022800,2,0,0,2418556,,2
2018,ES42,Castilla-la Mancha,22300,45326868500,2,0,0,2032595,,2
2018,ES43,Extremadura,20500,21944286500,2,0,0,1070453,,2
2018,ES51,Cataluña,33200,2.48625E+11,2,0,0,7488718,,2
2018,ES52,Comunidad Valenciana,24500,1.21183E+11,2,0,0,4946233,,2
2018,ES53,Illes Balears,30200,35241074600,2,0,0,1166923,,2
2018,ES61,Andalucía,20900,1.75771E+11,2,0,0,8410095,,2
2018,ES62,Región de Murcia,23200,34233200800,2,0,0,1475569,,2
2018,ES63,Ciudad Autónoma de Ceuta (ES),22000,1874598000,2,0,0,85209,,2
2018,ES64,Ciudad Autónoma de Melilla (ES),20300,1719572400,2,0,0,84708,,2
2018,ES70,Canarias (ES),22800,49636694400,2,0,0,2177048,,2
2018,ITC1,Piemonte,31900,1.3959E+11,2,22328,97703460000,4375865,Italy,3
2018,ITC2,Valle d'Aosta/Vallée d'Aoste,39500,4984979000,2,21943,2769200000,126202,,3
2018,ITC3,Liguria,32600,50757580600,2,21704,33792710000,1556981,,3
2018,ITC4,Lombardia,39200,3.93421E+11,2,25981,2.60749E+11,10036258,,3
2018,ITH1,Provincia Autonoma di Bolzano/Bozen,47700,25173675000,2,28704,15148520000,527750,,3
2018,ITH2,Provincia Autonoma di Trento,38500,20786073000,2,22818,12319160000,539898,,3
2018,ITH3,Veneto,33800,1.6579E+11,2,22165,1.08722E+11,4905037,,3
2018,ITH4,Friuli-Venezia Giulia,31800,38654108400,2,21816,26518580000,1215538,,3
2018,ITH5,Emilia-Romagna,36800,1.63857E+11,2,24655,1.09779E+11,4452629,,3
2018,ITI1,Toscana,32000,1.19583E+11,2,21015,78532720000,3736968,,3
2018,ITI2,Umbria,25900,22912176000,2,18347,16230200000,884640,,3
2018,ITI3,Marche,28700,43961311100,2,19391,29702160000,1531753,,3
2018,ITI4,Lazio,34100,2.01077E+11,2,21193,1.24971E+11,5896693,,3
2018,ITF1,Abruzzo,26200,34458135200,2,16275,21405320000,1315196,,3
2018,ITF2,Molise,21400,6601750200,2,14166,4370160000,308493,,3
2018,ITF3,Campania,18800,1.09545E+11,2,12980,75631340000,5826860,,3
2018,ITF4,Puglia,19300,78131070600,2,13466,54513900000,4048242,,3
2018,ITF5,Basilicata,22600,12816866800,2,13622,7725070000,567118,,3
2018,ITF6,Calabria,17300,33850685100,2,11758,23006970000,1956687,,3
2018,ITG1,Sicilia,18100,90988500900,2,12533,63002490000,5026989,,3
2018,ITG2,Sardegna,21600,35600601600,2,14128,23285390000,1648176,,3
2018,NL11,Groningen,38000,22151872000,2,0,0,582944,Netherlands,8
2018,NL12,Friesland (NL),27200,17605689600,2,0,0,647268,,8
2018,NL13,Drenthe,27300,13434330000,2,0,0,492100,,8
2018,NL21,Overijssel,33300,38344983300,2,0,0,1151501,,8
2018,NL22,Gelderland,33700,69425471100,2,0,0,2060103,,8
2018,NL23,Flevoland,30100,12391267000,2,0,0,411670,,8
2018,NL31,Utrecht,48900,63349167600,2,0,0,1295484,,8
2018,NL32,Noord-Holland,52200,1.47788E+11,2,0,0,2831182,,8
2018,NL33,Zuid-Holland,39400,1.45033E+11,2,0,0,3681044,,8
2018,NL34,Zeeland,31500,12042576000,2,0,0,382304,,8
2018,NL41,Noord-Brabant,40700,1.02901E+11,2,0,0,2528286,,8
2018,NL42,Limburg (NL),35400,39548809200,2,0,0,1117198,,8
