TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
1992,1992,DE94,Weser-Ems,Total,Total,Number,2226304,
1992,1992,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2227406,
2005,2005,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2227452,
2006,2006,LV,Latvia,Total,Total,Number,2227874,
2006,2006,LV0,Latvija,Total,Total,Number,2227874,
2006,2006,LV00,Latvija,Total,Total,Number,2227874,
1996,1996,FRJ1,Languedoc-Roussillon,Total,Total,Number,2229405,
1996,1996,FR81,Languedoc-Roussillon (NUTS 2013),Total,Total,Number,2229405,
2012,2012,TRA,Kuzeydogu Anadolu,Total,Total,Number,2230394,
2018,2018,PT16,Centro (PT),Total,Total,Number,2231346,
2016,2016,SE11,Stockholm,Total,Total,Number,2231439,
2004,2004,UKH1,East Anglia,Total,Total,Number,2231970,
2007,2007,RO32,Bucuresti - Ilfov,Total,Total,Number,2232162,
2011,2011,RO41,Sud-Vest Oltenia,Total,Total,Number,2232814,
2012,2012,UKE4,West Yorkshire,Total,Total,Number,2233863,
2010,2010,PL63,Pomorskie,Total,Total,Number,2234955,b
2015,2015,DEE,Sachsen-Anhalt,Total,Total,Number,2235548,
2015,2015,DEE0,Sachsen-Anhalt,Total,Total,Number,2235548,
2017,2017,DEE,Sachsen-Anhalt,Total,Total,Number,2236252,
2017,2017,DEE0,Sachsen-Anhalt,Total,Total,Number,2236252,
1993,1993,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2238288,
1999,1999,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2239500,
2017,2017,DE13,Freiburg,Total,Total,Number,2239734,
2014,2014,IE06,Eastern and Midland,Total,Total,Number,2240925,
1994,1994,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2240987,
2011,2011,LT02,Vidurio ir vakaru Lietuvos regionas,Total,Total,Number,2241073,
1998,1998,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2241952,
2008,2008,RO32,Bucuresti - Ilfov,Total,Total,Number,2242002,
2010,2010,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2242650,
1993,1993,NL41,Noord-Brabant,Total,Total,Number,2243546,
2017,2017,PT16,Centro (PT),Total,Total,Number,2243934,
1997,1997,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2244212,
2014,2014,DEE,Sachsen-Anhalt,Total,Total,Number,2244577,
2014,2014,DEE0,Sachsen-Anhalt,Total,Total,Number,2244577,
