Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
2002,BE34,Prov. Luxembourg (BE),18200,4557389200,2,16381,4101990000,250406,BE
2002,BE35,Prov. Namur,18000,8059950000,2,17135,7672820000,447775,BE
2002,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2003,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,52100,51685336100,2,18170,18024940000,992041,BE
2003,BE21,Prov. Antwerpen,30500,50664129500,2,19902,33059140000,1661119,BE
2003,BE22,Prov. Limburg (BE),22000,17655616000,2,17750,14244600000,802528,BE
2003,BE23,Prov. Oost-Vlaanderen,23100,31650141600,2,20175,27642170000,1370136,BE
2003,BE24,Prov. Vlaams-Brabant,26800,27546085200,2,23780,24442190000,1027839,BE
2003,BE25,Prov. West-Vlaanderen,24500,27781309500,2,18447,20917920000,1133931,BE
2003,BE31,Prov. Brabant wallon,26100,9344113200,2,22316,7989490000,358012,BE
2003,BE32,Prov. Hainaut,17400,22301684400,2,14476,18553600000,1281706,BE
2003,BE33,Prov. Liège,19200,19696166400,2,15758,16165010000,1025842,BE
2003,BE34,Prov. Luxembourg (BE),18200,4591769000,2,16521,4168069999.9999995,252295,BE
2003,BE35,Prov. Namur,18300,8242228500,2,16736,7538030000,450395,BE
2003,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2004,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,53500,53494596500,2,18227,18225140000,999899,BE
2004,BE21,Prov. Antwerpen,31900,53235102800,2,20268,33824160000.000004,1668812,BE
2004,BE22,Prov. Limburg (BE),22200,17888449200,2,18136,14613730000,805786,BE
2004,BE23,Prov. Oost-Vlaanderen,24000,32969280000,2,20664,28386520000,1373720,BE
2004,BE24,Prov. Vlaams-Brabant,27800,28686931200,2,24271,25045060000,1031904,BE
2004,BE25,Prov. West-Vlaanderen,25300,28735790600,2,19015,21597310000,1135802,BE
2004,BE31,Prov. Brabant wallon,27900,10064004300,2,22810,8227820000,360717,BE
2004,BE32,Prov. Hainaut,17800,22840960000,2,14684,18842620000,1283200,BE
2004,BE33,Prov. Liège,19800,20386179000,2,16181,16659779999.999998,1029605,BE
2004,BE34,Prov. Luxembourg (BE),18500,4701220000,2,17078,4339950000,254120,BE
2004,BE35,Prov. Namur,18800,8513692800,2,17098,7742830000,452856,BE
2004,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2005,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,55700,56075919300,2,18521,18646100000,1006749,BE
2005,BE21,Prov. Antwerpen,33700,56510114600,2,21053,35303600000,1676858,BE
2005,BE22,Prov. Limburg (BE),22600,18304689200,2,18818,15241400000,809942,BE
2005,BE23,Prov. Oost-Vlaanderen,24800,34225785600,2,21584,29788110000,1380072,BE
2005,BE24,Prov. Vlaams-Brabant,29000,30095794000,2,25177,26127880000,1037786,BE
2005,BE25,Prov. West-Vlaanderen,26200,29828778600,2,19786,22526770000,1138503,BE
2005,BE31,Prov. Brabant wallon,29100,10585881600,2,23546,8565629999.999999,363776,BE
2005,BE32,Prov. Hainaut,18500,23796087500,2,15295,19673040000,1286275,BE
2005,BE33,Prov. Liège,20500,21197492000,2,16640,17206350000,1034024,BE
2005,BE34,Prov. Luxembourg (BE),19200,4915276800,2,17809,4559210000,256004,BE
2005,BE35,Prov. Namur,19500,8889328500,2,17818,8122540000,455863,BE
2005,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2006,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,56000,57053024000,2,19082,19440570000,1018804,BE
2006,BE21,Prov. Antwerpen,34500,58253008500,2,21730,36690270000,1688493,BE
2006,BE22,Prov. Limburg (BE),23900,19470326200,2,19612,15976980000,814658,BE
2006,BE23,Prov. Oost-Vlaanderen,25700,35708865000,2,22290,30970920000,1389450,BE
2006,BE24,Prov. Vlaams-Brabant,30500,31846056500,2,25887,27029890000,1044133,BE
2006,BE25,Prov. West-Vlaanderen,27600,31515501600,2,20546,23460350000,1141866,BE
2006,BE31,Prov. Brabant wallon,30200,11067726200,2,24234,8881140000,366481,BE
2006,BE32,Prov. Hainaut,19100,24640508900,2,15869,20472480000,1290079,BE
2006,BE33,Prov. Liège,21300,22158326100,2,17180,17872800000,1040297,BE
2006,BE34,Prov. Luxembourg (BE),20200,5222649400,2,18927,4893430000,258547,BE
2006,BE35,Prov. Namur,20400,9354909600,2,18519,8492180000,458574,BE
2006,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2007,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,57100,58882376500,2,19929,20550580000,1031215,BE
2007,BE21,Prov. Antwerpen,36000,61220520000,2,22505,38271690000,1700570,BE
2007,BE22,Prov. Limburg (BE),25000,20506800000,2,20280,16635250000,820272,BE
2007,BE23,Prov. Oost-Vlaanderen,27100,37892656300,2,23323,32611110000,1398253,BE
2007,BE24,Prov. Vlaams-Brabant,31700,33363203900,2,26935,28348150000,1052467,BE
2007,BE25,Prov. West-Vlaanderen,29000,33230462000,2,21557,24701500000,1145878,BE
2007,BE31,Prov. Brabant wallon,31600,11706536000,2,25148,9316360000,370460,BE
2007,BE32,Prov. Hainaut,19700,25508426800,2,16650,21558730000,1294844,BE
2007,BE33,Prov. Liège,22100,23147849400,2,17905,18754080000,1047414,BE
2007,BE34,Prov. Luxembourg (BE),20400,5328031200,2,19946,5209380000,261178,BE
2007,BE35,Prov. Namur,21000,9701643000,2,19448,8984530000,461983,BE
